t_rel;t_epoch;ID;subID;lon;lat;alt;heading;speed;distance;yaw;pitch;roll;easting;northing;flightphase;satid;orbit_lat;orbit_lng;orbit_dist;uav_az;uav_elev;uav_dist;gain_az;gain_elev;gain_value;sat_sel;beam_sel;alpha;EIRP0;d_alpha;db_at_alpha;EIRP;Tsky_uav;Tsys_uav;Tsky_sat;Tsys_sat;terrain_shadowing;DEM_x;DEM_y;DEM_z;DEM_dist;DEM_min_dz;atm_loss_up;atm_loss_down;rain_att_up;rain_att_down;path_in_atm;path_in_rain;path_loss_up;path_loss_down;f_down;f_up;bandwidth;CN0_downlink;CN_total_downlink;Es/N0_down;modcod_downlink;coderate_downlink;datarate_downlink;CN0_uplink;CN_total_uplink;Es/N0_up;modcod_uplink;coderate_uplink;datarate_uplink;act_flightphase_start;uplink_latency_active;uplink_datarate_active;uplink_availability_active;uplink_continuity_active;uplink_integrity_active;uplink_transaction_time_active;uplink_transaction_possibility_active;uplink_latency_avg;uplink_datarate_avg;uplink_availability_avg;uplink_continuity_avg;uplink_transaction_time_avg;uplink_transaction_possibility_avg;downlink_latency_active;downlink_datarate_active;downlink_availability_active;downlink_continuity_active;downlink_integrity_active;downlink_transaction_time_active;downlink_transaction_possibility_active;downlink_latency_avg;downlink_datarate_avg;downlink_availability_avg;downlink_continuity_avg;downlink_transaction_time_avg;downlink_transaction_possibility_avg
0;1780344000;0;2050;14.3136568;46.6236436;448.3480401097453;0.7331901753158266;9.112345715168524;2.278086428792131;4.421101670835743;-3.62623771652482;0.9079784196069716;447455.1631290055;5163571.12319715;-1;39215;-1.68752895738163;24.85886165345257;35793.37183463342;166.0049617139386;33.59048828908689;38294.15914569337;160.6379834434055;37.31314543391873;2.136;0;2;2;55;0.5931628388116816;-3;53.69074015444956;288.15;250;206.250186791964;281.250186791964;1;;;;0;6.698000479021176;5.42247136092805;5.42247136092805;0;0;28919.84725828293;0;188.4601128626944;188.1383764648254;1.59;1.65;0.2;62.9330796085035;5.209717567382382;6.178817697462946;11;0.6;0.2847985600000001;42.09981510179822;-10.980186986179628;-10.011086856099064;-1;;;0;;;;;;;;;;0;;;;0.2352639462295483;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639462295483;284798.5600000001;1;0;0.05752838076147576;0
0.25;1780344000.25;0;2051.244999995232;14.313657197999998;46.62366408549992;447.5541987501785;1.0345536822836874;8.01580271944762;2.003950679861905;4.190061425119966;-3.626759650337026;0.9686326620583176;447455.2134197309;5163573.39925175;-1;39215;-1.68752895738163;24.85886165345257;35793.37183463342;166.0049665130777;33.59046665392713;38294.16098249052;160.6078276423;37.33334862202612;2.136;0;2;2;55;0.5931637620562392;-3;53.6907366357744;288.15;250;206.2502449301304;281.2502449301304;1;;;;0;5.897749918867646;5.422474443852518;5.422474443852518;0;0;28919.86370054676;0;188.4601132793171;188.1383768814481;1.59;1.65;0.2;62.93307528750418;5.209716107633562;6.178816237714126;11;0.6;0.2847985600000001;42.09980988305435;-10.980192121833824;-10.01109199175326;-1;;;0;;;;;;;;;;0;;;;0.2352639523564441;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639492929962;284798.5600000001;1;0;0.05752838076147576;0
0.5;1780344000.5;0;2052.247500298619;14.313657673250208;46.62368210450544;447.5780389358559;1.437316631446669;5.061132727850518;1.265283181962629;3.61618515009863;-3.609349812943282;0.9329332402433888;447455.2672380462;5163575.401181472;-1;39215;-1.68752895738163;24.85886165345257;35793.37183463342;166.0049708974923;33.5904476454943;38294.16259580141;160.7654807895873;37.30599188790552;2.136;0;2;2;55;0.5931646494393248;-3;53.69073325377222;288.15;250;206.2502960097687;281.2502960097687;1;;;;0;5.879566952105962;5.42247715248235;5.42247715248235;0;0;28919.87814657253;0;188.4601136452487;188.1383772473795;1.59;1.65;0.2;62.93307142339702;5.209714802234286;6.17881493231485;11;0.6;0.2847985600000001;42.09980523019749;-10.98019670061081;-10.011096570530246;-1;;;0;;;;;;;;;;0;;;;0.2352639577378699;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639521079541;284798.5600000001;1;0;0.05752838076147574;0
0.75;1780344000.75;0;2052.872500149608;14.313658110750104;46.62369347950274;447.5895627593897;1.24592085296853;8.247717501539628;2.061929375384907;3.666997615985889;-3.579940495208515;0.8746784633707992;447455.3117378376;5163576.664863522;-1;39215;-1.68752895738163;24.85886165345257;35793.37183463342;166.0049738444261;33.59043567084322;38294.16361212747;160.8776660484102;37.25987420273126;1.92;0;2;2;55;0.5931652244340502;-3;53.69073106234598;288.15;250;206.2503281881785;281.2503281881785;1;;;;0;5.88468180241165;5.422478858826562;5.422478858826562;0;0;28919.88724707499;0;188.4601138757719;188.1383774779029;1.59;1.65;0.2;62.7170689749294;5.1355353468648;6.104635476945364;11;0.6;0.2847985600000001;41.88380228484496;-11.192843410521036;-10.223743280440472;-1;;;0;;;;;;;;;;0;;;;0.2352639611279687;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639543629577;284798.5600000001;1;0;0.05752838076147576;0
1;1780344001;0;2053.995000001192;14.313658697500002;46.62371201850002;447.6038589856132;1.941438718070192;9.934930555071222;2.483732638767806;2.972946397090928;-3.44650463723453;0.7560595675616406;447455.3745953646;5163578.724499686;-1;39215;-1.68771143894311;24.85885802268305;35793.37224228211;166.0050232579608;33.59022046971544;38294.18223295728;160.8224977653051;37.09469841010168;1.92;0;2;2;55;0.5931658667302452;-3;53.69072861441846;288.15;250;206.2509064809989;281.2509064809989;1;;;;0;5.895219301788076;5.42250952442777;5.42250952442777;0;0;28920.05079694811;0;188.4601180993511;188.1383817014821;1.59;1.65;0.2;62.71703351426706;5.135522969601488;6.104623099682052;11;0.6;0.2847985600000001;41.88375789444644;-11.192887127939012;-10.223786997858448;-1;;;0;;;;;;;;;;0;;;;0.2352640232403712;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639681384404;284798.5600000001;1;0;0.05752838076147576;0
1.25;1780344001.25;0;2055.244999995232;14.313659795999996;46.62373434249992;447.624751385105;1.963624823984425;9.597774704983452;2.399443676245863;3.859747340398773;-3.437365064974248;0.8685089844233936;447455.4802932822;5163581.204378882;-1;39215;-1.68771143894311;24.85885802268305;35793.37224228211;166.0050293539939;33.59019701239819;38294.18422384987;159.9554126327601;37.11760782072198;2.02;0;2;2;55;0.5931670214025708;-3;53.69072421371322;288.15;250;206.2509695162117;281.2509695162117;1;;;;0;5.891269840619714;5.42251286706008;5.42251286706008;0;0;28920.06862432043;0;188.4601185509256;188.1383821530565;1.59;1.65;0.2;62.81702869269104;5.17016463535594;6.139264765436504;11;0.6;0.2847985600000001;41.98375209951024;-11.094426193293474;-10.12532606321291;-1;;;0;;;;;;;;;;0;;;;0.2352640298812741;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639784289127;284798.5600000001;1;0;0.05752838076147576;0
1.5;1780344001.5;0;2056.495000597238;14.313660895000598;46.623755908011;447.6420613203277;2.377125541802767;9.608866602480194;2.402216650620049;4.487326187399259;-3.282548830417817;1.109442002698926;447455.5852955867;5163583.599975542;-1;39215;-1.68771143894311;24.85885802268305;35793.37224228211;166.0050352921867;33.59017435894248;38294.18614651714;159.0771988903284;37.05234580630386;2.02;0;2;2;55;0.593168140759685;-3;53.69071994759794;288.15;250;206.2510303913074;281.2510303913074;1;;;;0;5.886240375507158;5.422516095148106;5.422516095148106;0;0;28920.08584078991;0;188.4601189870251;188.138382589156;1.59;1.65;0.2;62.81702403255398;5.170163033061108;6.139263163141672;11;0.6;0.2847985600000001;41.98374649936881;-11.094431706587652;-10.125331576507088;-1;;;0;;;;;;;;;;0;;;;0.2352640362946018;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639866954397;284798.5600000001;1;0;0.05752838076147576;0
1.75;1780344001.75;0;2057.745000299215;14.31366221950033;46.62377749250494;447.6578822686596;2.715856550011939;10.114380980289046;2.528595245072262;4.876647478947366;-3.014803926421108;1.345554766070599;447455.707579802;5163585.997531244;-1;39215;-1.68771143894311;24.85885802268305;35793.37224228211;166.0050415281798;33.59015172628698;38294.18806741046;158.5509113030983;36.88813271638451;2.125;0;2;2;55;0.593169285649271;-3;53.69071558416884;288.15;250;206.2510912105513;281.2510912105513;1;;;;0;5.885947509930646;5.422519320276818;5.422519320276818;0;0;28920.10304147636;0;188.4601194227222;188.1383830248531;1.59;1.65;0.2;62.92201935305906;5.205977967945402;6.175078098025966;11;0.6;0.2847985600000001;42.08874088073213;-10.991085111160408;-10.021984981079844;-1;;;0;;;;;;;;;;0;;;;0.2352640427020122;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352639936962612;284798.5600000001;1;0;0.05752838076147576;0
2;1780344002;0;2058.995000001192;14.313663793500004;46.62380020700002;448.5175680409307;2.974018758441112;10.11463040204077;2.528657600510193;4.541591521885114;-2.975983624491933;1.342881218550593;447455.850058308;5163588.520484774;-1;39215;-1.687893911549613;24.85885439261299;35793.37264989073;166.0050930972636;33.58993228808685;38294.20704729933;158.6388756616189;36.85059408367659;2.125;0;2;2;55;0.593170301578539;-3;53.69071171223284;288.15;250;206.2516808946044;281.2516808946044;1;;;;0;6.702995061087222;5.422550590223648;5.422550590223648;0;0;28920.26981452612;0;188.4601237277405;188.1383873298714;1.59;1.65;0.2;62.9219828741662;5.205965623581586;6.17506575366215;11;0.6;0.2847985600000001;42.08869529622965;-10.991129971716408;-10.022029841635844;-1;;;0;;;;;;;;;;0;;;;0.2352641060121068;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352640061757996;284798.5600000001;1;0;0.05752838076147576;0
2.25;1780344002.25;0;2060.244999995232;14.313665542999992;46.62382291599992;447.9652792986664;3.414764997040124;9.710892874233502;2.427723218558376;3.608093084955471;-2.963708014873016;1.114812741614023;447456.0059672107;5163591.04271071;-1;39215;-1.687893911549613;24.85885439261299;35793.37264989073;166.0051001219602;33.58990854162473;38294.20906309004;158.9954721555134;36.75610089653048;2.125;0;2;2;55;0.5931714967366138;-3;53.69070715721126;288.15;250;206.2517447073926;281.2517447073926;1;;;;0;6.125528757996506;5.42255397412125;5.42255397412125;0;0;28920.28786198;0;188.460124184962;188.1383877870929;1.59;1.65;0.2;62.92197796964754;5.205963963899818;6.175064093980382;11;0.6;0.2847985600000001;42.08868940634665;-10.991135768060264;-10.0220356379797;-1;;;0;;;;;;;;;;0;;;;0.2352641127360608;284798.5600000001;1;0;1;0.05752838076147576;0;0.2352640168318257;284798.5600000001;1;0;0.05752838076147576;0
