t_rel;t_epoch;ID;subID;lon;lat;alt;heading;speed;distance;yaw;pitch;roll;easting;northing;flightphase;satid;orbit_lat;orbit_lng;orbit_dist;uav_az;uav_elev;uav_dist;gain_az;gain_elev;gain_value;sat_sel;beam_sel;alpha;EIRP0;d_alpha;db_at_alpha;EIRP;Tsky_uav;Tsys_uav;Tsky_sat;Tsys_sat;terrain_shadowing;DEM_x;DEM_y;DEM_z;DEM_dist;DEM_min_dz;atm_loss_up;atm_loss_down;rain_att_up;rain_att_down;path_in_atm;path_in_rain;path_loss_up;path_loss_down;f_down;f_up;bandwidth;CN0_downlink;CN_total_downlink;Es/N0_down;modcod_downlink;coderate_downlink;datarate_downlink;CN0_uplink;CN_total_uplink;Es/N0_up;modcod_uplink;coderate_uplink;datarate_uplink;act_flightphase_start;uplink_latency_active;uplink_datarate_active;uplink_availability_active;uplink_continuity_active;uplink_integrity_active;uplink_transaction_time_active;uplink_transaction_possibility_active;uplink_latency_avg;uplink_datarate_avg;uplink_availability_avg;uplink_continuity_avg;uplink_transaction_time_avg;uplink_transaction_possibility_avg;downlink_latency_active;downlink_datarate_active;downlink_availability_active;downlink_continuity_active;downlink_integrity_active;downlink_transaction_time_active;downlink_transaction_possibility_active;downlink_latency_avg;downlink_datarate_avg;downlink_availability_avg;downlink_continuity_avg;downlink_transaction_time_avg;downlink_transaction_possibility_avg
0;1786613815;0;0;4.45484;51.96271;-4.034686368;236.93867;0;0;0;3.7161;0.13177;599955.9489;5757890.313657626;0;60398;52.74023958467874;6.019813394007998;365.6097416379189;50.32437124392138;67.90884210788998;385.9944707504908;174.5564586091997;64.22691363766204;6.5;11;-1;;50;;;0;288.15;350;152.7055875434963;50;1;;;;;;3.237689537310691;3.237689537310691;0;0;17267.67753232368;0;165.7630298145223;165.7630298145223;12;12;250;90.65980934065192;3.316593309424307;35.25479356958544;27;0.9;0.71248432;99.11078974079448;5.499526169349238;37.43772642951037;27;0.9;0.71248432;0;0.07428313274760786;712484.32;1;1;1;0.02299559378373408;1;0.07428313274760786;712484.32;1;1;0.02299559378373408;1;0.07428313274760786;712484.32;1;1;1;0.02299559378373408;1;0.07428313274760786;712484.32;1;1;0.02299559378373408;1
10;1786613825;0;10.716475095783896;4.45484;51.96271;-4.045672224183909;235.7658690038315;0;0;0;3.441052681992338;0.4093767049808432;599955.9489;5757890.313657626;0;60398;52.84126954719688;7.044281251865698;365.6350404957375;59.95774107121114;59.0964762079233;414.7660382661835;184.4137692336178;55.63442233257558;6.5;11;-1;;50;;;0;288.15;350;160.5374826629902;50;1;;;;;;3.496367715173738;3.496367715173738;0;0;18647.2944809266;0;166.3874719111862;166.3874719111862;12;12;250;89.77668906612502;2.887161924546098;34.82536218470723;27;0.9;0.71248432;98.22766946626758;5.394218144398598;37.33241840455973;27;0.9;0.71248432;0;0.0743791043664659;712484.32;1;1;1;0.02299559378373408;1;0.07433111855703688;712484.32;1;1;0.02299559378373408;1;0.0743791043664659;712484.32;1;1;1;0.02299559378373408;1;0.07433111855703688;712484.32;1;1;0.02299559378373408;1
20;1786613835;0;20.22605363984732;4.45484;51.96271;-4.045672049011494;235.76584;0;0;0;3.441112605363985;0.4094122605363985;599955.9489;5757890.313657626;0;60398;52.93269248377966;8.073466085686354;365.6582295591552;64.882544530665;51.21375206339644;453.2422615171638;188.9453032829232;47.75106088712068;6.5;11;-1;;50;;;0;288.15;350;170.480963091733;50;1;;;;;;3.848678484664951;3.848678484664951;0;0;20526.2852515464;0;167.1580160999371;167.1580160999371;12;12;250;88.65383410788286;2.276538029604934;34.21473828976606;27;0.9;0.71248432;97.10481450802542;5.230514130341888;37.16871439050302;27;0.9;0.71248432;0;0.07450744723241946;712484.32;1;1;1;0.02299559378373408;1;0.0743898947821644;712484.32;1;1;0.02299559378373408;1;0.07450744723241946;712484.32;1;1;1;0.02299559378373408;1;0.0743898947821644;712484.32;1;1;0.02299559378373408;1
30;1786613845;0;29.73563218390945;4.45484;51.96271;-4.045670554206897;235.76584;0;0;0;3.441178275862069;0.4094173563218391;599955.9489;5757890.313657626;0;60398;53.01443680788988;9.106931346984148;365.6792950721174;67.84042100950748;44.50315843950001;499.1800925645456;191.7748286475612;41.05166500979687;6.5;11;-1;;50;;;0;288.15;350;181.6036450008169;50;1;;;;;;4.279914504564289;4.279914504564289;0;0;22826.21069100954;0;167.9965532876309;167.9965532876309;12;12;250;87.38406090028972;1.500976929339697;33.43917718950083;27;0.9;0.71248432;95.83504130043226;4.997403068018104;36.93560332817924;27;0.9;0.71248432;0;0.07466067934290632;712484.32;1;1;1;0.02299559378373408;1;0.07445759092234988;712484.32;1;1;0.02299559378373408;1;0.07466067934290632;712484.32;1;1;1;0.02299559378373408;1;0.07445759092234988;712484.32;1;1;0.02299559378373408;1
40;1786613855;0;39.21072796934869;4.45484;51.96271;-4.046473626298851;235.7656663218391;0;0;0;3.500152643678161;0.4102178927203065;599955.9489;5757890.313657626;0;60398;53.08643698154884;10.144214674931732;365.6982244596248;69.81022458306408;38.88201336163147;550.7101903672888;193.6979860914678;35.3856031755543;6.5;11;-1;;50;;;0;288.15;350;193.175070921364;50;1;;;;;;4.77921069419903;4.77921069419903;0;0;25489.12370239483;0;168.8498703980594;168.8498703980594;12;12;250;86.0314476002265;0.581758867899373;32.5199591280605;27;0.9;0.71248432;94.48242800036906;4.681997979197554;36.62019823935869;27;0.9;0.71248432;0;0.07483256524739676;712484.32;1;1;1;0.02299559378373408;1;0.07453258578735926;712484.32;1;1;0.02299559378373408;1;0.07483256524739676;712484.32;1;1;1;0.02299559378373408;1;0.07453258578735926;712484.32;1;1;0.02299559378373408;1
50;1786613865;0;48.69629629629658;4.45484;51.96271;-4.046472984;235.76566;0;0;0;3.500227851851852;0.4102269629629629;599955.9489;5757890.313657626;0;60398;53.14863573677146;11.184854102917404;365.7150068427373;71.21777539520358;34.17977658566925;606.4032098424278;195.1047154094843;30.69516801728413;6.5;11;-1;;50;;;0;288.15;350;204.6812287223129;50;1;;;;;;5.34006026931767;5.34006026931767;0;0;28480.3214363609;0;169.6866379720033;169.6866379720033;12;12;250;84.6338304511639;-0.4583308012596584;31.47986945890147;27;0.9;0.71248432;93.08481085130646;4.270560141248881;36.20876040141001;27;0.9;0.71248432;0;0.07501833716389752;712484.32;1;1;1;0.02299559378373408;1;0.07461354435011564;712484.32;1;1;0.02299559378373408;1;0.07501833716389752;712484.32;1;1;1;0.02299559378373408;1;0.07461354435011564;712484.32;1;1;0.02299559378373408;1
60;1786613875;0;58.19540229885056;4.45484;51.96271;-4.046468744827587;235.7656600000001;0;0;0;3.50023091954023;0.410213908045977;599955.9489;5757890.313657626;0;60398;53.20098313465486;12.2283769931972;365.7296327511449;72.27608043148538;30.22292536499616;665.2086615025386;196.1768501464355;26.7487069357354;0;11;-1;;50;;;0;288.15;350;215.7827767550239;50;1;;;;;;5.95988138424264;5.95988138424264;0;0;31786.03404929408;0;170.4905660511478;170.4905660511478;12;12;250;76.71008125709452;-7.469221662308038;24.46897859785309;27;0.9;0.71248432;85.16106165723708;-0.0559921791089826;31.88220808105215;27;0.9;0.71248432;0;0.07521449103665476;712484.32;1;1;1;0.02299559378373408;1;0.07469939387676408;712484.3200000002;1;1;0.02299559378373408;1;0.07521449103665476;712484.32;1;1;1;0.02299559378373408;1;0.07469939387676408;712484.3200000002;1;1;0.02299559378373408;1
70;1786613885;0;67.6814814814834;4.45484;51.96271;-4.046463840000001;235.76566;0;0;0;3.50023;0.4102199999999999;599955.9489;5757890.313657626;0;61252;51.88435616439034;5.883752681796238;365.4549879341221;94.50614444515586;73.76440837184684;373.1388317487544;213.3347073279759;70.68912511275434;6.5;56;-1;;50;;;0;288.15;350;149.1325980156581;50;1;;;;;;3.124608793711201;3.124608793711201;0;0;16664.58023312641;0;165.4688170923823;165.4688170923823;12;12;250;91.06710280639144;3.499587757217671;35.4377880173788;27;0.9;0.71248432;99.51808320653398;5.542050751814488;37.48025101197562;27;0.9;0.71248432;0;0.07424025095168976;712484.32;1;1;1;0.02299559378373408;1;0.0746420010111298;712484.3200000002;1;1;0.02299559378373408;1;0.07424025095168976;712484.32;1;1;1;0.02299559378373408;1;0.0746420010111298;712484.3200000002;1;1;0.02299559378373408;1
80;1786613895;0;77.1800766283534;4.45484;51.96271;-4.046457744;235.76562;0;0;0;3.50010459770115;0.4102154022988506;599955.9489;5757890.313657626;0;61252;51.71575929581446;6.861738038909198;365.4160950604637;98.45814272096768;63.51278817297718;398.5172192518503;218.9502779817511;60.59418154442394;6.5;56;-1;;50;;;0;288.15;350;156.218887948111;50;1;;;;;;3.35182824206098;3.35182824206098;0;0;17876.41729099189;0;166.0403499681183;166.0403499681183;12;12;250;90.2683504823056;3.131772581799728;35.06997284196086;27;0.9;0.71248432;98.71933088244816;5.455165325428806;37.39336558558994;27;0.9;0.71248432;0;0.07432490414034036;712484.32;1;1;1;0.02299559378373408;1;0.07460676802548652;712484.3200000002;1;1;0.02299559378373408;1;0.07432490414034036;712484.32;1;1;1;0.02299559378373408;1;0.07460676802548652;712484.3200000002;1;1;0.02299559378373408;1
90;1786613905;0;86.68965517241344;4.45484;51.96271;-4.046453750068965;235.76562;0;0;0;3.50008724137931;0.4102262068965518;599955.9489;5757890.313657626;0;61252;51.5383854364346;7.831986885476868;365.3752563942371;100.11585163429004;54.63380801330962;434.4761864759648;221.5487104190943;51.79133615165712;6.5;56;-1;;50;;;0;288.15;350;165.7887791009203;50;1;;;;;;3.678862456932839;3.678862456932839;0;0;19620.59977030847;0;166.7907277002786;166.7907277002786;12;12;250;89.1909385352734;2.577600639817987;34.51580089997911;27;0.9;0.71248432;97.64191893541596;5.313332091769602;37.25153235193073;27;0.9;0.71248432;0;0.07444485034400408;712484.32;1;1;1;0.02299559378373408;1;0.07459057625733828;712484.3200000002;1;1;0.02299559378373408;1;0.07444485034400408;712484.32;1;1;1;0.02299559378373408;1;0.07459057625733828;712484.3200000002;1;1;0.02299559378373408;1
