t_rel;t_epoch;ID;subID;lon;lat;alt;heading;speed;distance;yaw;pitch;roll;easting;northing;flightphase;satid;orbit_lat;orbit_lng;orbit_dist;uav_az;uav_elev;uav_dist;gain_az;gain_elev;gain_value;sat_sel;beam_sel;alpha;EIRP0;d_alpha;db_at_alpha;EIRP;Tsky_uav;Tsys_uav;Tsky_sat;Tsys_sat;terrain_shadowing;DEM_x;DEM_y;DEM_z;DEM_dist;DEM_min_dz;atm_loss_up;atm_loss_down;rain_att_up;rain_att_down;path_in_atm;path_in_rain;path_loss_up;path_loss_down;f_down;f_up;bandwidth;CN0_downlink;CN_total_downlink;Es/N0_down;modcod_downlink;coderate_downlink;datarate_downlink;CN0_uplink;CN_total_uplink;Es/N0_up;modcod_uplink;coderate_uplink;datarate_uplink;act_flightphase_start;uplink_latency_active;uplink_datarate_active;uplink_availability_active;uplink_continuity_active;uplink_integrity_active;uplink_transaction_time_active;uplink_transaction_possibility_active;uplink_latency_avg;uplink_datarate_avg;uplink_availability_avg;uplink_continuity_avg;uplink_transaction_time_avg;uplink_transaction_possibility_avg;downlink_latency_active;downlink_datarate_active;downlink_availability_active;downlink_continuity_active;downlink_integrity_active;downlink_transaction_time_active;downlink_transaction_possibility_active;downlink_latency_avg;downlink_datarate_avg;downlink_availability_avg;downlink_continuity_avg;downlink_transaction_time_avg;downlink_transaction_possibility_avg
0;1786615548;0;0;7.49103;46.91915;509.99007984;140.20801;3.950437369033422e-11;7.900874738066844e-10;0;-1.17364;-0.06869;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1786615568;0;19.01915708811964;7.49103;46.91915000000002;509.982974952;140.265958467433;3.950437369033422e-11;7.900874738066844e-10;0;0.6423075095785522;-0.07513601532566494;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1786615588;0;38.00383141761836;7.49103;46.91915;509.9830115280002;140.2658404214559;0;0;0;0.6452322988505872;-0.07648984674329526;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1786615608;0;57.0229885057448;7.49103;46.91915;509.9830464223448;140.2660654022989;3.372832529136883e-12;6.745665058273768e-11;0;0.642286666666662;-0.07577724137930656;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;1786615628;0;76.0076628352436;7.49103;46.91915;509.9830112477244;140.2659893869732;3.372832529136883e-12;6.745665058273768e-11;0;0.6431771647509456;-0.07670544061302298;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;1786615648;0;94.9578544061288;7.49103;46.91915;509.983009986483;140.2658142145594;0;0;0;0.6422574329502094;-0.07674114942528706;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;1786615668;0;113.91111111110662;7.49103;46.91915;509.9830147792002;140.2659617777778;0;0;0;0.6446959999999766;-0.07624222222221932;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;1786615688;0;132.8927203065127;7.49103;46.91915;509.983048104;140.2660335632184;0;0;0;0.6436630651340948;-0.07588662835249156;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;1786615708;0;151.8429118773908;7.49103;46.91915;509.9830115280002;140.2658414176245;0;0;0;0.6448752107279848;-0.07683134099616468;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;1786615728;0;170.8275862068908;7.49103;46.91915;509.9830052217932;140.2658834482759;0;0;0;0.6488031034483042;-0.07704034482758488;385107.6185737303;5197284.755875946;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
